bus,Vdc [pu],Cdc [pu],Gdc [pu],Rf [pu],Lf [pu],Cf [pu],S_max [pu],Ix_max times Inom [pu]
1,5,10,0,5.00E-04,0.0314,0.188500001,2.475,2
2,5,10,0,5.00E-04,0.0314,0.188500001,1.92,1.4
3,5,10,0,5.00E-04,0.0314,0.188500001,1.28,1.1
